Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2017-01-01,36
2006-01-08,41,2017-01-08,40
2006-01-15,84,2017-01-15,38
2006-01-22,56,2017-01-22,42
2006-01-29,53,2017-01-29,42
2006-02-05,80,2017-02-05,41
2006-02-12,67,2017-02-12,42
2006-02-19,53,2017-02-19,46
2006-02-26,86,2017-02-26,50
2006-03-05,72,2017-03-05,51
2006-03-12,89,2017-03-12,48
2006-03-19,86,2017-03-19,59
2006-03-26,73,2017-03-26,57
2006-04-02,80,2017-04-02,57
2006-04-09,60,2017-04-09,46
2006-04-16,62,2017-04-16,53
2006-04-23,76,2017-04-23,58
2006-04-30,69,2017-04-30,54
2006-05-07,79,2017-05-07,56
2006-05-14,100,2017-05-14,56
2006-05-21,74,2017-05-21,56
2006-05-28,78,2017-05-28,56
2006-06-04,57,2017-06-04,52
2006-06-11,54,2017-06-11,50
2006-06-18,45,2017-06-18,49
2006-06-25,46,2017-06-25,46
2006-07-02,48,2017-07-02,44
2006-07-09,50,2017-07-09,43
2006-07-16,60,2017-07-16,45
2006-07-23,61,2017-07-23,49
2006-07-30,56,2017-07-30,50
2006-08-06,63,2017-08-06,50
2006-08-13,64,2017-08-13,52
2006-08-20,70,2017-08-20,65
2006-08-27,66,2017-08-27,57
2006-09-03,58,2017-09-03,54
2006-09-10,63,2017-09-10,57
2006-09-17,68,2017-09-17,50
2006-09-24,49,2017-09-24,51
2006-10-01,54,2017-10-01,52
2006-10-08,77,2017-10-08,55
2006-10-15,56,2017-10-15,52
2006-10-22,73,2017-10-22,50
2006-10-29,69,2017-10-29,50
2006-11-05,46,2017-11-05,48
2006-11-12,58,2017-11-12,45
2006-11-19,55,2017-11-19,42
2006-11-26,67,2017-11-26,41
2006-12-03,37,2017-12-03,42
2006-12-10,45,2017-12-10,37
2006-12-17,45,2017-12-17,33
2006-12-24,48,2017-12-24,36
2006-12-31,44,2017-12-31,39
