Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2021-01-03,30
2006-01-08,41,2021-01-10,33
2006-01-15,84,2021-01-17,35
2006-01-22,56,2021-01-24,36
2006-01-29,53,2021-01-31,36
2006-02-05,80,2021-02-07,33
2006-02-12,67,2021-02-14,37
2006-02-19,53,2021-02-21,37
2006-02-26,86,2021-02-28,45
2006-03-05,72,2021-03-07,43
2006-03-12,89,2021-03-14,45
2006-03-19,86,2021-03-21,43
2006-03-26,73,2021-03-28,42
2006-04-02,80,2021-04-04,35
2006-04-09,60,2021-04-11,41
2006-04-16,62,2021-04-18,44
2006-04-23,76,2021-04-25,41
2006-04-30,69,2021-05-02,42
2006-05-07,79,2021-05-09,45
2006-05-14,100,2021-05-16,45
2006-05-21,74,2021-05-23,44
2006-05-28,78,2021-05-30,40
2006-06-04,57,2021-06-06,39
2006-06-11,54,2021-06-13,40
2006-06-18,45,2021-06-20,39
2006-06-25,46,2021-06-27,34
2006-07-02,48,2021-07-04,35
2006-07-09,50,2021-07-11,34
2006-07-16,60,2021-07-18,34
2006-07-23,61,2021-07-25,34
2006-07-30,56,2021-08-01,36
2006-08-06,63,2021-08-08,40
2006-08-13,64,2021-08-15,40
2006-08-20,70,2021-08-22,38
2006-08-27,66,2021-08-29,37
2006-09-03,58,2021-09-05,44
2006-09-10,63,2021-09-12,42
2006-09-17,68,2021-09-19,41
2006-09-24,49,2021-09-26,34
2006-10-01,54,2021-10-03,36
2006-10-08,77,2021-10-10,41
2006-10-15,56,2021-10-17,35
2006-10-22,73,2021-10-24,35
2006-10-29,69,2021-10-31,37
2006-11-05,46,2021-11-07,39
2006-11-12,58,2021-11-14,33
2006-11-19,55,2021-11-21,37
2006-11-26,67,2021-11-28,31
2006-12-03,37,2021-12-05,27
2006-12-10,45,2021-12-12,27
2006-12-17,45,2021-12-19,23
2006-12-24,48,2021-12-26,26
2006-12-31,44,1970-01-01,-1
