Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2020-01-05,36
2006-01-08,41,2020-01-12,36
2006-01-15,84,2020-01-19,39
2006-01-22,56,2020-01-26,36
2006-01-29,53,2020-02-02,39
2006-02-05,80,2020-02-09,37
2006-02-12,67,2020-02-16,39
2006-02-19,53,2020-02-23,42
2006-02-26,86,2020-03-01,44
2006-03-05,72,2020-03-08,42
2006-03-12,89,2020-03-15,41
2006-03-19,86,2020-03-22,36
2006-03-26,73,2020-03-29,36
2006-04-02,80,2020-04-05,36
2006-04-09,60,2020-04-12,38
2006-04-16,62,2020-04-19,43
2006-04-23,76,2020-04-26,44
2006-04-30,69,2020-05-03,45
2006-05-07,79,2020-05-10,45
2006-05-14,100,2020-05-17,49
2006-05-21,74,2020-05-24,51
2006-05-28,78,2020-05-31,46
2006-06-04,57,2020-06-07,47
2006-06-11,54,2020-06-14,55
2006-06-18,45,2020-06-21,42
2006-06-25,46,2020-06-28,39
2006-07-02,48,2020-07-05,38
2006-07-09,50,2020-07-12,43
2006-07-16,60,2020-07-19,43
2006-07-23,61,2020-07-26,45
2006-07-30,56,2020-08-02,40
2006-08-06,63,2020-08-09,46
2006-08-13,64,2020-08-16,44
2006-08-20,70,2020-08-23,43
2006-08-27,66,2020-08-30,51
2006-09-03,58,2020-09-06,50
2006-09-10,63,2020-09-13,45
2006-09-17,68,2020-09-20,44
2006-09-24,49,2020-09-27,42
2006-10-01,54,2020-10-04,40
2006-10-08,77,2020-10-11,42
2006-10-15,56,2020-10-18,43
2006-10-22,73,2020-10-25,39
2006-10-29,69,2020-11-01,33
2006-11-05,46,2020-11-08,39
2006-11-12,58,2020-11-15,37
2006-11-19,55,2020-11-22,32
2006-11-26,67,2020-11-29,34
2006-12-03,37,2020-12-06,37
2006-12-10,45,2020-12-13,34
2006-12-17,45,2020-12-20,29
2006-12-24,48,2020-12-27,30
2006-12-31,44,1970-01-01,-1
