Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2019-01-06,32
2006-01-08,41,2019-01-13,39
2006-01-15,84,2019-01-20,35
2006-01-22,56,2019-01-27,41
2006-01-29,53,2019-02-03,44
2006-02-05,80,2019-02-10,42
2006-02-12,67,2019-02-17,41
2006-02-19,53,2019-02-24,44
2006-02-26,86,2019-03-03,46
2006-03-05,72,2019-03-10,48
2006-03-12,89,2019-03-17,51
2006-03-19,86,2019-03-24,53
2006-03-26,73,2019-03-31,55
2006-04-02,80,2019-04-07,45
2006-04-09,60,2019-04-14,41
2006-04-16,62,2019-04-21,41
2006-04-23,76,2019-04-28,48
2006-04-30,69,2019-05-05,47
2006-05-07,79,2019-05-12,48
2006-05-14,100,2019-05-19,55
2006-05-21,74,2019-05-26,49
2006-05-28,78,2019-06-02,49
2006-06-04,57,2019-06-09,45
2006-06-11,54,2019-06-16,44
2006-06-18,45,2019-06-23,42
2006-06-25,46,2019-06-30,39
2006-07-02,48,2019-07-07,40
2006-07-09,50,2019-07-14,43
2006-07-16,60,2019-07-21,41
2006-07-23,61,2019-07-28,43
2006-07-30,56,2019-08-04,46
2006-08-06,63,2019-08-11,46
2006-08-13,64,2019-08-18,49
2006-08-20,70,2019-08-25,49
2006-08-27,66,2019-09-01,47
2006-09-03,58,2019-09-08,59
2006-09-10,63,2019-09-15,50
2006-09-17,68,2019-09-22,47
2006-09-24,49,2019-09-29,48
2006-10-01,54,2019-10-06,50
2006-10-08,77,2019-10-13,51
2006-10-15,56,2019-10-20,46
2006-10-22,73,2019-10-27,46
2006-10-29,69,2019-11-03,47
2006-11-05,46,2019-11-10,46
2006-11-12,58,2019-11-17,43
2006-11-19,55,2019-11-24,40
2006-11-26,67,2019-12-01,39
2006-12-03,37,2019-12-08,34
2006-12-10,45,2019-12-15,35
2006-12-17,45,2019-12-22,31
2006-12-24,48,2019-12-29,33
2006-12-31,44,1970-01-01,-1
