Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2015-01-04,40
2006-01-08,41,2015-01-11,44
2006-01-15,84,2015-01-18,42
2006-01-22,56,2015-01-25,44
2006-01-29,53,2015-02-01,46
2006-02-05,80,2015-02-08,46
2006-02-12,67,2015-02-15,45
2006-02-19,53,2015-02-22,52
2006-02-26,86,2015-03-01,47
2006-03-05,72,2015-03-08,55
2006-03-12,89,2015-03-15,59
2006-03-19,86,2015-03-22,68
2006-03-26,73,2015-03-29,48
2006-04-02,80,2015-04-05,57
2006-04-09,60,2015-04-12,51
2006-04-16,62,2015-04-19,55
2006-04-23,76,2015-04-26,60
2006-04-30,69,2015-05-03,59
2006-05-07,79,2015-05-10,61
2006-05-14,100,2015-05-17,65
2006-05-21,74,2015-05-24,60
2006-05-28,78,2015-05-31,56
2006-06-04,57,2015-06-07,49
2006-06-11,54,2015-06-14,49
2006-06-18,45,2015-06-21,52
2006-06-25,46,2015-06-28,42
2006-07-02,48,2015-07-05,46
2006-07-09,50,2015-07-12,49
2006-07-16,60,2015-07-19,52
2006-07-23,61,2015-07-26,52
2006-07-30,56,2015-08-02,55
2006-08-06,63,2015-08-09,55
2006-08-13,64,2015-08-16,54
2006-08-20,70,2015-08-23,59
2006-08-27,66,2015-08-30,61
2006-09-03,58,2015-09-06,65
2006-09-10,63,2015-09-13,55
2006-09-17,68,2015-09-20,52
2006-09-24,49,2015-09-27,52
2006-10-01,54,2015-10-04,65
2006-10-08,77,2015-10-11,60
2006-10-15,56,2015-10-18,54
2006-10-22,73,2015-10-25,53
2006-10-29,69,2015-11-01,53
2006-11-05,46,2015-11-08,51
2006-11-12,58,2015-11-15,47
2006-11-19,55,2015-11-22,44
2006-11-26,67,2015-11-29,44
2006-12-03,37,2015-12-06,48
2006-12-10,45,2015-12-13,38
2006-12-17,45,2015-12-20,38
2006-12-24,48,2015-12-27,40
2006-12-31,44,1970-01-01,-1
