Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2007-01-07,43
2006-01-08,41,2007-01-14,44
2006-01-15,84,2007-01-21,39
2006-01-22,56,2007-01-28,35
2006-01-29,53,2007-02-04,36
2006-02-05,80,2007-02-11,60
2006-02-12,67,2007-02-18,56
2006-02-19,53,2007-02-25,61
2006-02-26,86,2007-03-04,56
2006-03-05,72,2007-03-11,66
2006-03-12,89,2007-03-18,69
2006-03-19,86,2007-03-25,59
2006-03-26,73,2007-04-01,57
2006-04-02,80,2007-04-08,51
2006-04-09,60,2007-04-15,54
2006-04-16,62,2007-04-22,67
2006-04-23,76,2007-04-29,67
2006-04-30,69,2007-05-06,65
2006-05-07,79,2007-05-13,82
2006-05-14,100,2007-05-20,68
2006-05-21,74,2007-05-27,74
2006-05-28,78,2007-06-03,53
2006-06-04,57,2007-06-10,52
2006-06-11,54,2007-06-17,46
2006-06-18,45,2007-06-24,44
2006-06-25,46,2007-07-01,46
2006-07-02,48,2007-07-08,36
2006-07-09,50,2007-07-15,47
2006-07-16,60,2007-07-22,56
2006-07-23,61,2007-07-29,54
2006-07-30,56,2007-08-05,48
2006-08-06,63,2007-08-12,67
2006-08-13,64,2007-08-19,69
2006-08-20,70,2007-08-26,62
2006-08-27,66,2007-09-02,63
2006-09-03,58,2007-09-09,58
2006-09-10,63,2007-09-16,68
2006-09-17,68,2007-09-23,54
2006-09-24,49,2007-09-30,63
2006-10-01,54,2007-10-07,52
2006-10-08,77,2007-10-14,58
2006-10-15,56,2007-10-21,56
2006-10-22,73,2007-10-28,60
2006-10-29,69,2007-11-04,49
2006-11-05,46,2007-11-11,53
2006-11-12,58,2007-11-18,51
2006-11-19,55,2007-11-25,47
2006-11-26,67,2007-12-02,35
2006-12-03,37,2007-12-09,32
2006-12-10,45,2007-12-16,37
2006-12-17,45,2007-12-23,28
2006-12-24,48,2007-12-30,47
2006-12-31,44,1970-01-01,-1
