Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2010-01-03,36
2006-01-08,41,2010-01-10,37
2006-01-15,84,2010-01-17,41
2006-01-22,56,2010-01-24,39
2006-01-29,53,2010-01-31,46
2006-02-05,80,2010-02-07,51
2006-02-12,67,2010-02-14,41
2006-02-19,53,2010-02-21,54
2006-02-26,86,2010-02-28,54
2006-03-05,72,2010-03-07,51
2006-03-12,89,2010-03-14,68
2006-03-19,86,2010-03-21,67
2006-03-26,73,2010-03-28,61
2006-04-02,80,2010-04-04,46
2006-04-09,60,2010-04-11,49
2006-04-16,62,2010-04-18,53
2006-04-23,76,2010-04-25,51
2006-04-30,69,2010-05-02,58
2006-05-07,79,2010-05-09,51
2006-05-14,100,2010-05-16,53
2006-05-21,74,2010-05-23,49
2006-05-28,78,2010-05-30,50
2006-06-04,57,2010-06-06,51
2006-06-11,54,2010-06-13,46
2006-06-18,45,2010-06-20,44
2006-06-25,46,2010-06-27,47
2006-07-02,48,2010-07-04,39
2006-07-09,50,2010-07-11,46
2006-07-16,60,2010-07-18,46
2006-07-23,61,2010-07-25,48
2006-07-30,56,2010-08-01,46
2006-08-06,63,2010-08-08,55
2006-08-13,64,2010-08-15,57
2006-08-20,70,2010-08-22,57
2006-08-27,66,2010-08-29,55
2006-09-03,58,2010-09-05,48
2006-09-10,63,2010-09-12,61
2006-09-17,68,2010-09-19,57
2006-09-24,49,2010-09-26,45
2006-10-01,54,2010-10-03,59
2006-10-08,77,2010-10-10,56
2006-10-15,56,2010-10-17,54
2006-10-22,73,2010-10-24,56
2006-10-29,69,2010-10-31,55
2006-11-05,46,2010-11-07,49
2006-11-12,58,2010-11-14,53
2006-11-19,55,2010-11-21,44
2006-11-26,67,2010-11-28,35
2006-12-03,37,2010-12-05,37
2006-12-10,45,2010-12-12,44
2006-12-17,45,2010-12-19,35
2006-12-24,48,2010-12-26,32
2006-12-31,44,1970-01-01,-1
