Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2009-01-04,39
2006-01-08,41,2009-01-11,38
2006-01-15,84,2009-01-18,45
2006-01-22,56,2009-01-25,44
2006-01-29,53,2009-02-01,47
2006-02-05,80,2009-02-08,40
2006-02-12,67,2009-02-15,51
2006-02-19,53,2009-02-22,43
2006-02-26,86,2009-03-01,50
2006-03-05,72,2009-03-08,62
2006-03-12,89,2009-03-15,51
2006-03-19,86,2009-03-22,63
2006-03-26,73,2009-03-29,56
2006-04-02,80,2009-04-05,50
2006-04-09,60,2009-04-12,42
2006-04-16,62,2009-04-19,50
2006-04-23,76,2009-04-26,64
2006-04-30,69,2009-05-03,58
2006-05-07,79,2009-05-10,58
2006-05-14,100,2009-05-17,65
2006-05-21,74,2009-05-24,65
2006-05-28,78,2009-05-31,44
2006-06-04,57,2009-06-07,58
2006-06-11,54,2009-06-14,47
2006-06-18,45,2009-06-21,44
2006-06-25,46,2009-06-28,41
2006-07-02,48,2009-07-05,41
2006-07-09,50,2009-07-12,40
2006-07-16,60,2009-07-19,46
2006-07-23,61,2009-07-26,49
2006-07-30,56,2009-08-02,49
2006-08-06,63,2009-08-09,50
2006-08-13,64,2009-08-16,53
2006-08-20,70,2009-08-23,63
2006-08-27,66,2009-08-30,56
2006-09-03,58,2009-09-06,54
2006-09-10,63,2009-09-13,60
2006-09-17,68,2009-09-20,62
2006-09-24,49,2009-09-27,53
2006-10-01,54,2009-10-04,54
2006-10-08,77,2009-10-11,54
2006-10-15,56,2009-10-18,54
2006-10-22,73,2009-10-25,56
2006-10-29,69,2009-11-01,54
2006-11-05,46,2009-11-08,52
2006-11-12,58,2009-11-15,46
2006-11-19,55,2009-11-22,52
2006-11-26,67,2009-11-29,44
2006-12-03,37,2009-12-06,49
2006-12-10,45,2009-12-13,41
2006-12-17,45,2009-12-20,36
2006-12-24,48,2009-12-27,42
2006-12-31,44,1970-01-01,-1
