Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2014-01-05,44
2006-01-08,41,2014-01-12,34
2006-01-15,84,2014-01-19,41
2006-01-22,56,2014-01-26,43
2006-01-29,53,2014-02-02,48
2006-02-05,80,2014-02-09,47
2006-02-12,67,2014-02-16,52
2006-02-19,53,2014-02-23,62
2006-02-26,86,2014-03-02,53
2006-03-05,72,2014-03-09,55
2006-03-12,89,2014-03-16,59
2006-03-19,86,2014-03-23,58
2006-03-26,73,2014-03-30,54
2006-04-02,80,2014-04-06,54
2006-04-09,60,2014-04-13,47
2006-04-16,62,2014-04-20,52
2006-04-23,76,2014-04-27,52
2006-04-30,69,2014-05-04,54
2006-05-07,79,2014-05-11,57
2006-05-14,100,2014-05-18,58
2006-05-21,74,2014-05-25,55
2006-05-28,78,2014-06-01,59
2006-06-04,57,2014-06-08,54
2006-06-11,54,2014-06-15,50
2006-06-18,45,2014-06-22,47
2006-06-25,46,2014-06-29,43
2006-07-02,48,2014-07-06,45
2006-07-09,50,2014-07-13,46
2006-07-16,60,2014-07-20,48
2006-07-23,61,2014-07-27,54
2006-07-30,56,2014-08-03,53
2006-08-06,63,2014-08-10,88
2006-08-13,64,2014-08-17,73
2006-08-20,70,2014-08-24,59
2006-08-27,66,2014-08-31,65
2006-09-03,58,2014-09-07,60
2006-09-10,63,2014-09-14,55
2006-09-17,68,2014-09-21,52
2006-09-24,49,2014-09-28,56
2006-10-01,54,2014-10-05,61
2006-10-08,77,2014-10-12,57
2006-10-15,56,2014-10-19,62
2006-10-22,73,2014-10-26,55
2006-10-29,69,2014-11-02,53
2006-11-05,46,2014-11-09,56
2006-11-12,58,2014-11-16,55
2006-11-19,55,2014-11-23,50
2006-11-26,67,2014-11-30,45
2006-12-03,37,2014-12-07,43
2006-12-10,45,2014-12-14,35
2006-12-17,45,2014-12-21,36
2006-12-24,48,2014-12-28,41
2006-12-31,44,1970-01-01,-1
