Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2012-01-01,39
2006-01-08,41,2012-01-08,44
2006-01-15,84,2012-01-15,37
2006-01-22,56,2012-01-22,40
2006-01-29,53,2012-01-29,47
2006-02-05,80,2012-02-05,46
2006-02-12,67,2012-02-12,47
2006-02-19,53,2012-02-19,51
2006-02-26,86,2012-02-26,48
2006-03-05,72,2012-03-04,52
2006-03-12,89,2012-03-11,53
2006-03-19,86,2012-03-18,56
2006-03-26,73,2012-03-25,48
2006-04-02,80,2012-04-01,44
2006-04-09,60,2012-04-08,46
2006-04-16,62,2012-04-15,51
2006-04-23,76,2012-04-22,52
2006-04-30,69,2012-04-29,62
2006-05-07,79,2012-05-06,50
2006-05-14,100,2012-05-13,54
2006-05-21,74,2012-05-20,58
2006-05-28,78,2012-05-27,56
2006-06-04,57,2012-06-03,51
2006-06-11,54,2012-06-10,54
2006-06-18,45,2012-06-17,47
2006-06-25,46,2012-06-24,40
2006-07-02,48,2012-07-01,36
2006-07-09,50,2012-07-08,46
2006-07-16,60,2012-07-15,39
2006-07-23,61,2012-07-22,52
2006-07-30,56,2012-07-29,44
2006-08-06,63,2012-08-05,45
2006-08-13,64,2012-08-12,55
2006-08-20,70,2012-08-19,55
2006-08-27,66,2012-08-26,52
2006-09-03,58,2012-09-02,55
2006-09-10,63,2012-09-09,59
2006-09-17,68,2012-09-16,55
2006-09-24,49,2012-09-23,50
2006-10-01,54,2012-09-30,48
2006-10-08,77,2012-10-07,57
2006-10-15,56,2012-10-14,55
2006-10-22,73,2012-10-21,53
2006-10-29,69,2012-10-28,49
2006-11-05,46,2012-11-04,49
2006-11-12,58,2012-11-11,55
2006-11-19,55,2012-11-18,45
2006-11-26,67,2012-11-25,44
2006-12-03,37,2012-12-02,42
2006-12-10,45,2012-12-09,43
2006-12-17,45,2012-12-16,38
2006-12-24,48,2012-12-23,34
2006-12-31,44,2012-12-30,40
