Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2016-01-03,39
2006-01-08,41,2016-01-10,43
2006-01-15,84,2016-01-17,39
2006-01-22,56,2016-01-24,43
2006-01-29,53,2016-01-31,48
2006-02-05,80,2016-02-07,46
2006-02-12,67,2016-02-14,52
2006-02-19,53,2016-02-21,55
2006-02-26,86,2016-02-28,54
2006-03-05,72,2016-03-06,53
2006-03-12,89,2016-03-13,52
2006-03-19,86,2016-03-20,50
2006-03-26,73,2016-03-27,53
2006-04-02,80,2016-04-03,53
2006-04-09,60,2016-04-10,49
2006-04-16,62,2016-04-17,50
2006-04-23,76,2016-04-24,53
2006-04-30,69,2016-05-01,56
2006-05-07,79,2016-05-08,57
2006-05-14,100,2016-05-15,53
2006-05-21,74,2016-05-22,52
2006-05-28,78,2016-05-29,53
2006-06-04,57,2016-06-05,54
2006-06-11,54,2016-06-12,44
2006-06-18,45,2016-06-19,48
2006-06-25,46,2016-06-26,37
2006-07-02,48,2016-07-03,39
2006-07-09,50,2016-07-10,44
2006-07-16,60,2016-07-17,43
2006-07-23,61,2016-07-24,47
2006-07-30,56,2016-07-31,50
2006-08-06,63,2016-08-07,48
2006-08-13,64,2016-08-14,51
2006-08-20,70,2016-08-21,54
2006-08-27,66,2016-08-28,61
2006-09-03,58,2016-09-04,60
2006-09-10,63,2016-09-11,53
2006-09-17,68,2016-09-18,53
2006-09-24,49,2016-09-25,46
2006-10-01,54,2016-10-02,46
2006-10-08,77,2016-10-09,55
2006-10-15,56,2016-10-16,55
2006-10-22,73,2016-10-23,55
2006-10-29,69,2016-10-30,49
2006-11-05,46,2016-11-06,46
2006-11-12,58,2016-11-13,47
2006-11-19,55,2016-11-20,45
2006-11-26,67,2016-11-27,43
2006-12-03,37,2016-12-04,43
2006-12-10,45,2016-12-11,39
2006-12-17,45,2016-12-18,39
2006-12-24,48,2016-12-25,38
2006-12-31,44,1970-01-01,-1
