Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2011-01-02,42
2006-01-08,41,2011-01-09,33
2006-01-15,84,2011-01-16,34
2006-01-22,56,2011-01-23,36
2006-01-29,53,2011-01-30,34
2006-02-05,80,2011-02-06,46
2006-02-12,67,2011-02-13,49
2006-02-19,53,2011-02-20,40
2006-02-26,86,2011-02-27,46
2006-03-05,72,2011-03-06,54
2006-03-12,89,2011-03-13,54
2006-03-19,86,2011-03-20,55
2006-03-26,73,2011-03-27,53
2006-04-02,80,2011-04-03,49
2006-04-09,60,2011-04-10,44
2006-04-16,62,2011-04-17,43
2006-04-23,76,2011-04-24,47
2006-04-30,69,2011-05-01,51
2006-05-07,79,2011-05-08,52
2006-05-14,100,2011-05-15,57
2006-05-21,74,2011-05-22,56
2006-05-28,78,2011-05-29,55
2006-06-04,57,2011-06-05,51
2006-06-11,54,2011-06-12,51
2006-06-18,45,2011-06-19,48
2006-06-25,46,2011-06-26,42
2006-07-02,48,2011-07-03,37
2006-07-09,50,2011-07-10,32
2006-07-16,60,2011-07-17,44
2006-07-23,61,2011-07-24,41
2006-07-30,56,2011-07-31,48
2006-08-06,63,2011-08-07,49
2006-08-13,64,2011-08-14,49
2006-08-20,70,2011-08-21,54
2006-08-27,66,2011-08-28,55
2006-09-03,58,2011-09-04,54
2006-09-10,63,2011-09-11,61
2006-09-17,68,2011-09-18,59
2006-09-24,49,2011-09-25,51
2006-10-01,54,2011-10-02,53
2006-10-08,77,2011-10-09,58
2006-10-15,56,2011-10-16,56
2006-10-22,73,2011-10-23,54
2006-10-29,69,2011-10-30,51
2006-11-05,46,2011-11-06,53
2006-11-12,58,2011-11-13,51
2006-11-19,55,2011-11-20,44
2006-11-26,67,2011-11-27,49
2006-12-03,37,2011-12-04,41
2006-12-10,45,2011-12-11,45
2006-12-17,45,2011-12-18,37
2006-12-24,48,2011-12-25,39
2006-12-31,44,1970-01-01,-1
