Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2022-01-02,24
2006-01-08,41,2022-01-09,27
2006-01-15,84,2022-01-16,25
2006-01-22,56,2022-01-23,27
2006-01-29,53,2022-01-30,34
2006-02-05,80,2022-02-06,34
2006-02-12,67,2022-02-13,35
2006-02-19,53,2022-02-20,36
2006-02-26,86,2022-02-27,37
2006-03-05,72,2022-03-06,40
2006-03-12,89,2022-03-13,39
2006-03-19,86,2022-03-20,40
2006-03-26,73,2022-03-27,44
2006-04-02,80,2022-04-03,45
2006-04-09,60,2022-04-10,36
2006-04-16,62,2022-04-17,35
2006-04-23,76,2022-04-24,38
2006-04-30,69,2022-05-01,41
2006-05-07,79,2022-05-08,40
2006-05-14,100,2022-05-15,45
2006-05-21,74,2022-05-22,41
2006-05-28,78,2022-05-29,39
2006-06-04,57,2022-06-05,40
2006-06-11,54,2022-06-12,39
2006-06-18,45,2022-06-19,36
2006-06-25,46,2022-06-26,31
2006-07-02,48,2022-07-03,34
2006-07-09,50,2022-07-10,31
2006-07-16,60,2022-07-17,40
2006-07-23,61,2022-07-24,40
2006-07-30,56,2022-07-31,38
2006-08-06,63,2022-08-07,42
2006-08-13,64,2022-08-14,42
2006-08-20,70,2022-08-21,39
2006-08-27,66,2022-08-28,42
2006-09-03,58,2022-09-04,38
2006-09-10,63,2022-09-11,38
2006-09-17,68,2022-09-18,33
2006-09-24,49,2022-09-25,37
2006-10-01,54,2022-10-02,35
2006-10-08,77,2022-10-09,42
2006-10-15,56,2022-10-16,41
2006-10-22,73,2022-10-23,42
2006-10-29,69,2022-10-30,40
2006-11-05,46,2022-11-06,38
2006-11-12,58,2022-11-13,37
2006-11-19,55,2022-11-20,31
2006-11-26,67,2022-11-27,30
2006-12-03,37,2022-12-04,30
2006-12-10,45,2022-12-11,32
2006-12-17,45,2022-12-18,25
2006-12-24,48,2022-12-25,27
2006-12-31,44,1970-01-01,-1
