Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2008-01-06,26
2006-01-08,41,2008-01-13,39
2006-01-15,84,2008-01-20,33
2006-01-22,56,2008-01-27,39
2006-01-29,53,2008-02-03,34
2006-02-05,80,2008-02-10,44
2006-02-12,67,2008-02-17,53
2006-02-19,53,2008-02-24,53
2006-02-26,86,2008-03-02,55
2006-03-05,72,2008-03-09,52
2006-03-12,89,2008-03-16,52
2006-03-19,86,2008-03-23,57
2006-03-26,73,2008-03-30,49
2006-04-02,80,2008-04-06,51
2006-04-09,60,2008-04-13,51
2006-04-16,62,2008-04-20,48
2006-04-23,76,2008-04-27,59
2006-04-30,69,2008-05-04,68
2006-05-07,79,2008-05-11,70
2006-05-14,100,2008-05-18,73
2006-05-21,74,2008-05-25,67
2006-05-28,78,2008-06-01,54
2006-06-04,57,2008-06-08,46
2006-06-11,54,2008-06-15,59
2006-06-18,45,2008-06-22,48
2006-06-25,46,2008-06-29,43
2006-07-02,48,2008-07-06,45
2006-07-09,50,2008-07-13,44
2006-07-16,60,2008-07-20,42
2006-07-23,61,2008-07-27,41
2006-07-30,56,2008-08-03,53
2006-08-06,63,2008-08-10,50
2006-08-13,64,2008-08-17,56
2006-08-20,70,2008-08-24,55
2006-08-27,66,2008-08-31,63
2006-09-03,58,2008-09-07,55
2006-09-10,63,2008-09-14,78
2006-09-17,68,2008-09-21,59
2006-09-24,49,2008-09-28,50
2006-10-01,54,2008-10-05,72
2006-10-08,77,2008-10-12,61
2006-10-15,56,2008-10-19,54
2006-10-22,73,2008-10-26,60
2006-10-29,69,2008-11-02,44
2006-11-05,46,2008-11-09,67
2006-11-12,58,2008-11-16,48
2006-11-19,55,2008-11-23,51
2006-11-26,67,2008-11-30,39
2006-12-03,37,2008-12-07,40
2006-12-10,45,2008-12-14,40
2006-12-17,45,2008-12-21,31
2006-12-24,48,2008-12-28,40
2006-12-31,44,1970-01-01,-1
