Category: All categories

Week,Clinical depression: (Australia),Week,Clinical depression: (Australia)
2006-01-01,50,2013-01-06,36
2006-01-08,41,2013-01-13,38
2006-01-15,84,2013-01-20,39
2006-01-22,56,2013-01-27,36
2006-01-29,53,2013-02-03,47
2006-02-05,80,2013-02-10,47
2006-02-12,67,2013-02-17,47
2006-02-19,53,2013-02-24,53
2006-02-26,86,2013-03-03,53
2006-03-05,72,2013-03-10,53
2006-03-12,89,2013-03-17,47
2006-03-19,86,2013-03-24,51
2006-03-26,73,2013-03-31,51
2006-04-02,80,2013-04-07,55
2006-04-09,60,2013-04-14,54
2006-04-16,62,2013-04-21,54
2006-04-23,76,2013-04-28,57
2006-04-30,69,2013-05-05,59
2006-05-07,79,2013-05-12,57
2006-05-14,100,2013-05-19,60
2006-05-21,74,2013-05-26,60
2006-05-28,78,2013-06-02,58
2006-06-04,57,2013-06-09,54
2006-06-11,54,2013-06-16,49
2006-06-18,45,2013-06-23,45
2006-06-25,46,2013-06-30,43
2006-07-02,48,2013-07-07,44
2006-07-09,50,2013-07-14,48
2006-07-16,60,2013-07-21,49
2006-07-23,61,2013-07-28,53
2006-07-30,56,2013-08-04,54
2006-08-06,63,2013-08-11,52
2006-08-13,64,2013-08-18,55
2006-08-20,70,2013-08-25,51
2006-08-27,66,2013-09-01,53
2006-09-03,58,2013-09-08,58
2006-09-10,63,2013-09-15,50
2006-09-17,68,2013-09-22,49
2006-09-24,49,2013-09-29,47
2006-10-01,54,2013-10-06,54
2006-10-08,77,2013-10-13,55
2006-10-15,56,2013-10-20,51
2006-10-22,73,2013-10-27,55
2006-10-29,69,2013-11-03,44
2006-11-05,46,2013-11-10,46
2006-11-12,58,2013-11-17,47
2006-11-19,55,2013-11-24,45
2006-11-26,67,2013-12-01,41
2006-12-03,37,2013-12-08,42
2006-12-10,45,2013-12-15,37
2006-12-17,45,2013-12-22,35
2006-12-24,48,2013-12-29,43
2006-12-31,44,1970-01-01,-1
