Category: All categories

Week,Clinical depression: (United Kingdom)
2016-01-03,94
2016-01-10,86
2016-01-17,90
2016-01-24,93
2016-01-31,95
2016-02-07,94
2016-02-14,96
2016-02-21,98
2016-02-28,92
2016-03-06,94
2016-03-13,96
2016-03-20,87
2016-03-27,87
2016-04-03,89
2016-04-10,95
2016-04-17,93
2016-04-24,89
2016-05-01,85
2016-05-08,84
2016-05-15,88
2016-05-22,79
2016-05-29,74
2016-06-05,76
2016-06-12,79
2016-06-19,73
2016-06-26,69
2016-07-03,74
2016-07-10,77
2016-07-17,71
2016-07-24,72
2016-07-31,73
2016-08-07,68
2016-08-14,70
2016-08-21,74
2016-08-28,75
2016-09-04,84
2016-09-11,84
2016-09-18,88
2016-09-25,85
2016-10-02,84
2016-10-09,100
2016-10-16,90
2016-10-23,87
2016-10-30,94
2016-11-06,87
2016-11-13,90
2016-11-20,85
2016-11-27,86
2016-12-04,84
2016-12-11,83
2016-12-18,72
2016-12-25,73
