Category: All categories

Week,Clinical depression: (United Kingdom)
2021-01-03,91
2021-01-10,93
2021-01-17,94
2021-01-24,93
2021-01-31,90
2021-02-07,90
2021-02-14,90
2021-02-21,91
2021-02-28,85
2021-03-07,89
2021-03-14,100
2021-03-21,97
2021-03-28,84
2021-04-04,84
2021-04-11,86
2021-04-18,84
2021-04-25,82
2021-05-02,87
2021-05-09,93
2021-05-16,87
2021-05-23,84
2021-05-30,78
2021-06-06,79
2021-06-13,76
2021-06-20,80
2021-06-27,78
2021-07-04,76
2021-07-11,73
2021-07-18,65
2021-07-25,74
2021-08-01,76
2021-08-08,69
2021-08-15,68
2021-08-22,73
2021-08-29,75
2021-09-05,73
2021-09-12,73
2021-09-19,72
2021-09-26,72
2021-10-03,78
2021-10-10,84
2021-10-17,83
2021-10-24,79
2021-10-31,78
2021-11-07,87
2021-11-14,81
2021-11-21,78
2021-11-28,68
2021-12-05,80
2021-12-12,77
2021-12-19,70
2021-12-26,73
