Category: All categories

Week,Clinical depression: (United Kingdom)
2008-01-06,95
2008-01-13,86
2008-01-20,91
2008-01-27,87
2008-02-03,83
2008-02-10,88
2008-02-17,89
2008-02-24,100
2008-03-02,99
2008-03-09,98
2008-03-16,75
2008-03-23,81
2008-03-30,85
2008-04-06,83
2008-04-13,82
2008-04-20,84
2008-04-27,79
2008-05-04,81
2008-05-11,73
2008-05-18,70
2008-05-25,67
2008-06-01,80
2008-06-08,69
2008-06-15,62
2008-06-22,75
2008-06-29,65
2008-07-06,65
2008-07-13,70
2008-07-20,74
2008-07-27,57
2008-08-03,61
2008-08-10,68
2008-08-17,63
2008-08-24,68
2008-08-31,72
2008-09-07,68
2008-09-14,61
2008-09-21,74
2008-09-28,80
2008-10-05,83
2008-10-12,75
2008-10-19,76
2008-10-26,71
2008-11-02,82
2008-11-09,85
2008-11-16,81
2008-11-23,75
2008-11-30,78
2008-12-07,67
2008-12-14,74
2008-12-21,63
2008-12-28,75
