Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2006-01-01,68
2014-01-12,72,2006-01-08,55
2014-01-19,77,2006-01-15,72
2014-01-26,67,2006-01-22,62
2014-02-02,71,2006-01-29,73
2014-02-09,68,2006-02-05,75
2014-02-16,73,2006-02-12,66
2014-02-23,76,2006-02-19,73
2014-03-02,72,2006-02-26,68
2014-03-09,67,2006-03-05,62
2014-03-16,71,2006-03-12,67
2014-03-23,68,2006-03-19,65
2014-03-30,69,2006-03-26,72
2014-04-06,68,2006-04-02,58
2014-04-13,59,2006-04-09,54
2014-04-20,70,2006-04-16,72
2014-04-27,74,2006-04-23,53
2014-05-04,67,2006-04-30,61
2014-05-11,67,2006-05-07,57
2014-05-18,62,2006-05-14,55
2014-05-25,59,2006-05-21,56
2014-06-01,62,2006-05-28,47
2014-06-08,60,2006-06-04,52
2014-06-15,57,2006-06-11,54
2014-06-22,57,2006-06-18,57
2014-06-29,53,2006-06-25,50
2014-07-06,60,2006-07-02,57
2014-07-13,59,2006-07-09,50
2014-07-20,54,2006-07-16,52
2014-07-27,55,2006-07-23,51
2014-08-03,54,2006-07-30,51
2014-08-10,100,2006-08-06,47
2014-08-17,75,2006-08-13,51
2014-08-24,64,2006-08-20,42
2014-08-31,64,2006-08-27,48
2014-09-07,63,2006-09-03,58
2014-09-14,65,2006-09-10,60
2014-09-21,66,2006-09-17,65
2014-09-28,68,2006-09-24,68
2014-10-05,71,2006-10-01,65
2014-10-12,75,2006-10-08,62
2014-10-19,73,2006-10-15,60
2014-10-26,69,2006-10-22,62
2014-11-02,76,2006-10-29,61
2014-11-09,75,2006-11-05,62
2014-11-16,79,2006-11-12,59
2014-11-23,78,2006-11-19,63
2014-11-30,74,2006-11-26,58
2014-12-07,74,2006-12-03,64
2014-12-14,68,2006-12-10,50
2014-12-21,61,2006-12-17,43
2014-12-28,71,2006-12-24,47
1970-01-01,-1,2006-12-31,55
