Category: All categories

Week,Clinical depression: (United Kingdom)
2010-01-03,73
2010-01-10,87
2010-01-17,87
2010-01-24,84
2010-01-31,87
2010-02-07,88
2010-02-14,79
2010-02-21,96
2010-02-28,89
2010-03-07,87
2010-03-14,94
2010-03-21,92
2010-03-28,74
2010-04-04,82
2010-04-11,83
2010-04-18,91
2010-04-25,100
2010-05-02,95
2010-05-09,87
2010-05-16,89
2010-05-23,82
2010-05-30,77
2010-06-06,79
2010-06-13,82
2010-06-20,72
2010-06-27,74
2010-07-04,67
2010-07-11,76
2010-07-18,74
2010-07-25,73
2010-08-01,76
2010-08-08,73
2010-08-15,71
2010-08-22,66
2010-08-29,64
2010-09-05,76
2010-09-12,77
2010-09-19,84
2010-09-26,75
2010-10-03,85
2010-10-10,83
2010-10-17,80
2010-10-24,76
2010-10-31,86
2010-11-07,84
2010-11-14,85
2010-11-21,77
2010-11-28,72
2010-12-05,76
2010-12-12,70
2010-12-19,57
2010-12-26,79
