Category: All categories

Week,Clinical depression: (United Kingdom)
2014-01-05,77
2014-01-12,72
2014-01-19,77
2014-01-26,67
2014-02-02,71
2014-02-09,69
2014-02-16,74
2014-02-23,77
2014-03-02,71
2014-03-09,67
2014-03-16,70
2014-03-23,67
2014-03-30,70
2014-04-06,67
2014-04-13,59
2014-04-20,70
2014-04-27,74
2014-05-04,67
2014-05-11,65
2014-05-18,62
2014-05-25,59
2014-06-01,62
2014-06-08,59
2014-06-15,58
2014-06-22,57
2014-06-29,54
2014-07-06,59
2014-07-13,59
2014-07-20,54
2014-07-27,56
2014-08-03,54
2014-08-10,100
2014-08-17,74
2014-08-24,64
2014-08-31,64
2014-09-07,63
2014-09-14,66
2014-09-21,65
2014-09-28,67
2014-10-05,70
2014-10-12,74
2014-10-19,72
2014-10-26,68
2014-11-02,76
2014-11-09,74
2014-11-16,79
2014-11-23,76
2014-11-30,73
2014-12-07,75
2014-12-14,69
2014-12-21,62
2014-12-28,70
