Category: All categories

Week,Clinical depression: (United Kingdom)
2019-01-06,82
2019-01-13,86
2019-01-20,88
2019-01-27,84
2019-02-03,89
2019-02-10,92
2019-02-17,84
2019-02-24,82
2019-03-03,87
2019-03-10,87
2019-03-17,100
2019-03-24,84
2019-03-31,82
2019-04-07,76
2019-04-14,70
2019-04-21,81
2019-04-28,80
2019-05-05,82
2019-05-12,87
2019-05-19,89
2019-05-26,77
2019-06-02,78
2019-06-09,84
2019-06-16,78
2019-06-23,73
2019-06-30,69
2019-07-07,74
2019-07-14,68
2019-07-21,58
2019-07-28,70
2019-08-04,70
2019-08-11,68
2019-08-18,66
2019-08-25,71
2019-09-01,62
2019-09-08,74
2019-09-15,77
2019-09-22,72
2019-09-29,79
2019-10-06,83
2019-10-13,85
2019-10-20,75
2019-10-27,70
2019-11-03,80
2019-11-10,80
2019-11-17,79
2019-11-24,78
2019-12-01,75
2019-12-08,74
2019-12-15,72
2019-12-22,63
2019-12-29,72
