Category: All categories

Week,Clinical depression: (United Kingdom)
2022-01-02,91
2022-01-09,96
2022-01-16,91
2022-01-23,89
2022-01-30,100
2022-02-06,95
2022-02-13,90
2022-02-20,93
2022-02-27,94
2022-03-06,96
2022-03-13,100
2022-03-20,93
2022-03-27,92
2022-04-03,88
2022-04-10,84
2022-04-17,95
2022-04-24,95
2022-05-01,96
2022-05-08,95
2022-05-15,95
2022-05-22,88
2022-05-29,78
2022-06-05,89
2022-06-12,81
2022-06-19,78
2022-06-26,79
2022-07-03,73
2022-07-10,75
2022-07-17,80
2022-07-24,82
2022-07-31,77
2022-08-07,72
2022-08-14,74
2022-08-21,79
2022-08-28,76
2022-09-04,72
2022-09-11,75
2022-09-18,73
2022-09-25,81
2022-10-02,79
2022-10-09,86
2022-10-16,87
2022-10-23,81
2022-10-30,85
2022-11-06,90
2022-11-13,88
2022-11-20,81
2022-11-27,85
2022-12-04,78
2022-12-11,78
2022-12-18,68
2022-12-25,69
