Category: All categories

Week,Clinical depression: (United Kingdom)
2017-01-01,89
2017-01-08,88
2017-01-15,91
2017-01-22,89
2017-01-29,82
2017-02-05,85
2017-02-12,80
2017-02-19,92
2017-02-26,93
2017-03-05,96
2017-03-12,90
2017-03-19,89
2017-03-26,92
2017-04-02,90
2017-04-09,78
2017-04-16,95
2017-04-23,96
2017-04-30,96
2017-05-07,99
2017-05-14,91
2017-05-21,80
2017-05-28,73
2017-06-04,74
2017-06-11,72
2017-06-18,75
2017-06-25,78
2017-07-02,74
2017-07-09,77
2017-07-16,77
2017-07-23,78
2017-07-30,79
2017-08-06,78
2017-08-13,77
2017-08-20,96
2017-08-27,80
2017-09-03,76
2017-09-10,76
2017-09-17,83
2017-09-24,83
2017-10-01,83
2017-10-08,100
2017-10-15,89
2017-10-22,87
2017-10-29,91
2017-11-05,90
2017-11-12,96
2017-11-19,87
2017-11-26,87
2017-12-03,83
2017-12-10,79
2017-12-17,77
2017-12-24,73
2017-12-31,91
