Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2019-01-06,73
2014-01-12,72,2019-01-13,75
2014-01-19,77,2019-01-20,77
2014-01-26,67,2019-01-27,74
2014-02-02,71,2019-02-03,78
2014-02-09,68,2019-02-10,80
2014-02-16,73,2019-02-17,74
2014-02-23,76,2019-02-24,72
2014-03-02,72,2019-03-03,76
2014-03-09,67,2019-03-10,76
2014-03-16,71,2019-03-17,89
2014-03-23,68,2019-03-24,74
2014-03-30,69,2019-03-31,72
2014-04-06,68,2019-04-07,67
2014-04-13,59,2019-04-14,61
2014-04-20,70,2019-04-21,71
2014-04-27,74,2019-04-28,71
2014-05-04,67,2019-05-05,72
2014-05-11,67,2019-05-12,76
2014-05-18,62,2019-05-19,77
2014-05-25,59,2019-05-26,68
2014-06-01,62,2019-06-02,69
2014-06-08,60,2019-06-09,75
2014-06-15,57,2019-06-16,68
2014-06-22,57,2019-06-23,64
2014-06-29,53,2019-06-30,61
2014-07-06,60,2019-07-07,65
2014-07-13,59,2019-07-14,60
2014-07-20,54,2019-07-21,50
2014-07-27,55,2019-07-28,62
2014-08-03,54,2019-08-04,61
2014-08-10,100,2019-08-11,60
2014-08-17,75,2019-08-18,57
2014-08-24,64,2019-08-25,62
2014-08-31,64,2019-09-01,54
2014-09-07,63,2019-09-08,65
2014-09-14,65,2019-09-15,67
2014-09-21,66,2019-09-22,63
2014-09-28,68,2019-09-29,69
2014-10-05,71,2019-10-06,73
2014-10-12,75,2019-10-13,75
2014-10-19,73,2019-10-20,67
2014-10-26,69,2019-10-27,62
2014-11-02,76,2019-11-03,70
2014-11-09,75,2019-11-10,69
2014-11-16,79,2019-11-17,68
2014-11-23,78,2019-11-24,69
2014-11-30,74,2019-12-01,65
2014-12-07,74,2019-12-08,64
2014-12-14,68,2019-12-15,64
2014-12-21,61,2019-12-22,56
2014-12-28,71,2019-12-29,63
