Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2008-01-06,59
2014-01-12,72,2008-01-13,55
2014-01-19,77,2008-01-20,58
2014-01-26,67,2008-01-27,57
2014-02-02,71,2008-02-03,52
2014-02-09,68,2008-02-10,56
2014-02-16,73,2008-02-17,58
2014-02-23,76,2008-02-24,64
2014-03-02,72,2008-03-02,62
2014-03-09,67,2008-03-09,64
2014-03-16,71,2008-03-16,48
2014-03-23,68,2008-03-23,51
2014-03-30,69,2008-03-30,55
2014-04-06,68,2008-04-06,53
2014-04-13,59,2008-04-13,53
2014-04-20,70,2008-04-20,52
2014-04-27,74,2008-04-27,50
2014-05-04,67,2008-05-04,53
2014-05-11,67,2008-05-11,45
2014-05-18,62,2008-05-18,44
2014-05-25,59,2008-05-25,42
2014-06-01,62,2008-06-01,54
2014-06-08,60,2008-06-08,44
2014-06-15,57,2008-06-15,40
2014-06-22,57,2008-06-22,45
2014-06-29,53,2008-06-29,42
2014-07-06,60,2008-07-06,41
2014-07-13,59,2008-07-13,42
2014-07-20,54,2008-07-20,49
2014-07-27,55,2008-07-27,37
2014-08-03,54,2008-08-03,41
2014-08-10,100,2008-08-10,42
2014-08-17,75,2008-08-17,46
2014-08-24,64,2008-08-24,44
2014-08-31,64,2008-08-31,44
2014-09-07,63,2008-09-07,42
2014-09-14,65,2008-09-14,40
2014-09-21,66,2008-09-21,46
2014-09-28,68,2008-09-28,52
2014-10-05,71,2008-10-05,54
2014-10-12,75,2008-10-12,52
2014-10-19,73,2008-10-19,47
2014-10-26,69,2008-10-26,44
2014-11-02,76,2008-11-02,52
2014-11-09,75,2008-11-09,55
2014-11-16,79,2008-11-16,51
2014-11-23,78,2008-11-23,48
2014-11-30,74,2008-11-30,49
2014-12-07,74,2008-12-07,43
2014-12-14,68,2008-12-14,48
2014-12-21,61,2008-12-21,43
2014-12-28,71,2008-12-28,48
