Category: All categories

Week,Clinical depression: (United Kingdom),Week,Clinical depression: (United Kingdom)
2014-01-05,78,2022-01-02,59
2014-01-12,72,2022-01-09,60
2014-01-19,77,2022-01-16,54
2014-01-26,67,2022-01-23,56
2014-02-02,71,2022-01-30,62
2014-02-09,68,2022-02-06,60
2014-02-16,73,2022-02-13,57
2014-02-23,76,2022-02-20,58
2014-03-02,72,2022-02-27,60
2014-03-09,67,2022-03-06,61
2014-03-16,71,2022-03-13,63
2014-03-23,68,2022-03-20,59
2014-03-30,69,2022-03-27,58
2014-04-06,68,2022-04-03,56
2014-04-13,59,2022-04-10,53
2014-04-20,70,2022-04-17,60
2014-04-27,74,2022-04-24,60
2014-05-04,67,2022-05-01,60
2014-05-11,67,2022-05-08,60
2014-05-18,62,2022-05-15,60
2014-05-25,59,2022-05-22,56
2014-06-01,62,2022-05-29,49
2014-06-08,60,2022-06-05,56
2014-06-15,57,2022-06-12,51
2014-06-22,57,2022-06-19,49
2014-06-29,53,2022-06-26,50
2014-07-06,60,2022-07-03,46
2014-07-13,59,2022-07-10,48
2014-07-20,54,2022-07-17,51
2014-07-27,55,2022-07-24,52
2014-08-03,54,2022-07-31,49
2014-08-10,100,2022-08-07,45
2014-08-17,75,2022-08-14,47
2014-08-24,64,2022-08-21,50
2014-08-31,64,2022-08-28,48
2014-09-07,63,2022-09-04,45
2014-09-14,65,2022-09-11,47
2014-09-21,66,2022-09-18,46
2014-09-28,68,2022-09-25,51
2014-10-05,71,2022-10-02,50
2014-10-12,75,2022-10-09,55
2014-10-19,73,2022-10-16,55
2014-10-26,69,2022-10-23,51
2014-11-02,76,2022-10-30,54
2014-11-09,75,2022-11-06,56
2014-11-16,79,2022-11-13,56
2014-11-23,78,2022-11-20,51
2014-11-30,74,2022-11-27,55
2014-12-07,74,2022-12-04,49
2014-12-14,68,2022-12-11,49
2014-12-21,61,2022-12-18,43
2014-12-28,71,2022-12-25,44
